name;homeValue;awayValue;key;period;groupName;homeTotal;awayTotal
Recoveries;28.0;22.0;ballRecovery;1ST;Defending;;
Clearances;10.0;19.0;totalClearance;1ST;Defending;;
Total saves;0.0;0.0;goalkeeperSaves;1ST;Goalkeeping;;
Goal kicks;3.0;6.0;goalKicks;1ST;Goalkeeping;;
Ball possession;58.0;42.0;ballPossession;2ND;Match overview;;
Expected goals;1.3;0.2;expectedGoals;2ND;Match overview;;
Big chances;3.0;0.0;bigChanceCreated;2ND;Match overview;;
Total shots;12.0;4.0;totalShotsOnGoal;2ND;Match overview;;
Goalkeeper saves;1.0;3.0;goalkeeperSaves;2ND;Match overview;;
Corner kicks;4.0;0.0;cornerKicks;2ND;Match overview;;
Passes;210.0;160.0;passes;2ND;Match overview;;
Tackles;7.0;6.0;totalTackle;2ND;Match overview;;
Free kicks;8.0;10.0;freeKicks;2ND;Match overview;;
Yellow cards;0.0;1.0;yellowCards;2ND;Match overview;;
Total shots;12.0;4.0;totalShotsOnGoal;2ND;Shots;;
Shots on target;4.0;1.0;shotsOnGoal;2ND;Shots;;
Hit woodwork;0.0;0.0;hitWoodwork;2ND;Shots;;
Shots off target;6.0;3.0;shotsOffGoal;2ND;Shots;;
Blocked shots;2.0;0.0;blockedScoringAttempt;2ND;Shots;;
Shots inside box;6.0;3.0;totalShotsInsideBox;2ND;Shots;;
Shots outside box;6.0;1.0;totalShotsOutsideBox;2ND;Shots;;
Big chances scored;1.0;0.0;bigChanceScored;2ND;Attack;;
Big chances missed;2.0;0.0;bigChanceMissed;2ND;Attack;;
Through balls;1.0;0.0;accurateThroughBall;2ND;Attack;;
Fouled in final third;3.0;0.0;fouledFinalThird;2ND;Attack;;
Offsides;1.0;1.0;offsides;2ND;Attack;;
Accurate passes;172.0;114.0;accuratePasses;2ND;Passes;;
Throw-ins;10.0;9.0;throwIns;2ND;Passes;;
Final third entries;28.0;12.0;finalThirdEntries;2ND;Passes;;
Long balls;11.0;13.0;accurateLongBalls;2ND;Passes;21.0;34.0
Crosses;3.0;0.0;accurateCross;2ND;Passes;11.0;2.0
Duels;56.0;44.0;duelWonPercent;2ND;Duels;;
Dispossessed;2.0;5.0;dispossessed;2ND;Duels;;
Ground duels;18.0;19.0;groundDuelsPercentage;2ND;Duels;37.0;37.0
Aerial duels;12.0;5.0;aerialDuelsPercentage;2ND;Duels;17.0;17.0
Dribbles;4.0;3.0;dribblesPercentage;2ND;Duels;8.0;5.0
Tackles won;4.0;5.0;wonTacklePercent;2ND;Defending;7.0;6.0
Total tackles;7.0;6.0;totalTackle;2ND;Defending;;
Interceptions;3.0;2.0;interceptionWon;2ND;Defending;;
Recoveries;23.0;19.0;ballRecovery;2ND;Defending;;
Clearances;5.0;9.0;totalClearance;2ND;Defending;;
Total saves;1.0;3.0;goalkeeperSaves;2ND;Goalkeeping;;
Goal kicks;0.0;8.0;goalKicks;2ND;Goalkeeping;;
